GENSOR Unit  genes
AccB	accC//accB//
CpxR	csgF//cheW//csgB//mdtC//csgE//acrD//mdtB//baeR//csgC//yidQ//tomB//csgD//cpxA//ldtC//lpxD//degP//sbmA//yccA//mscM//rprA//yebE//spy//ftnB//bacA//cyaR//ygaU//yaiW//csgA//ompC//marA//aroG//ppiD//lpxA//yqaE//bamE//dgcZ//ung//rpoH//tsr//dsbA//psd//motA//marR//mdtD//ompF//rpoE//fabZ//mzrA//cpxR//yqjA//hha//motB//csgG//rdoA//ppiA//dsbC//rseC//skp//efeU_2//rseA//mdtA//marB//cpxP//slt//baeS//efeU_1//rseB//cheA//
Cra	nirC//gapA//csgF//mtlR//edd//hypF//ppc//csgE//prpB//aceK//aroP//pdeL//poxB//csgD//manX//tpiA//adhE//prpD//glk//crp//sgrT//fruA//cyoB//sgrS//betI//ptsI//fbaA//cydA//mtlA//ptsH//pgk//fruB//nirB//mpl//cydB//marA//fruK//zwf//betA//yeaD//marR//icd//eno//manZ//acnA//cyoC//aceE//betT//acnB//csgG//eda//fbaB//pdhR//prpE//ppsA//cyoE//envC//lpd//cyoD//glcC//pfkA//aceB//cysG//aceA//manY//pck//aceF//prpC//nirD//mtlD//gpmM//crr//epd//marB//cyoA//yibQ//betB//pykF//setA//
CreB	malG//malE//malF//creD//talA//
CsgD	nlpA//fliG//flgN//csgF//fliF//fliJ//fliZ//yhbS//wrbA//csgB//fliI//fliA//csgE//iraP//fliH//flgM//pepD//fliK//csgC//tcyJ//fliE//yccT//yccJ//csgD//dgcC//csgG//yhbT//csgA//
CsiR	lhgO//gabT//csiD//gabP//gabD//
CspA	gyrA//hns//
CueR	moaC//moaE//moaB//moaD//moaA//copA//cueO//
CusR	cyoE//cusB//cyoD//cusA//cyoC//cyoA//cusS//cusR//cyoB//yedX//cusF//cusC//
CynR	cynT//cynX//cynR//cynS//
CysB	hslJ//cysH//yoaC//ssuC//cysN//tauC//dgcZ//ygeH//cysP//yciW//cysD//yfbR//cysW//tauD//cbl//cysM//ybdN//cysB//cysK//tauB//ssuD//cysJ//cysA//tauA//cysC//cysU//ssuB//cysI//ssuE//ssuA//
CytR	deoB//nupG//cdd//rpoH//deoA//nupC//deoD//deoC//ycdZ//udp//tsx//cytR//ppiA//
Dan	ttdA//ttdT//ttdB//ttdR//
DcuR	fumB//frdC//dpiA//frdD//dpiB//dcuB//frdA//dctA//frdB//
DeoR	deoD//deoB//deoC//tsx//nupG//deoA//
DhaR	dhaM//dhaL//dhaR//dhaK//
DicA	dicB//insD//ydfD//ydfE//intQ//ydfW//dicC//ydfX//
DinJ-YafQ	dinJ//yafQ//cspE//
DnaA	aldA//polA//recF//rpoH//yjeV//yfaE//dnaA//dnaN//guaA//nrdA//nrdB//guaB//
DpiA	mdh//citC//citF//exuT//dpiA//citG//citX//citD//dpiB//appY//citE//
DsdC	dsdC//dsdA//dsdX//
EbgR	ebgC//ebgA//
EnvR	acrA//acrB//
EnvY	ompF//ompC//
EvgA	yegZ//ydeO//gadE//yfdX//yegR//evgS//emrY//acrD//evgA//mdtE//ydeP//yfdV//oxc//emrK//safA//mdtF//frc//yfdE//
ExuR	uxuA//uxaC//exuT//uxuB//uxuR//uxaA//exuR//uxaB//
FabR	fabA//fabB//
FadR	fabA//fadD//fabH//fabD//iclR//fadE//fadM//fadJ//uspA//fabG//fabI//fadR//accA//accD//fabB//fadH//fadI//accC//fadB//fadL//accB//fadA//sroD//
FeaR	tynA//feaB//
FhlA	hyfI//hypD//hycA//hyfH//hydN//fdhF//hyfF//hycH//hyfR//hypF//hycB//focB//hycE//fhlA//hyfD//hycF//hyfE//hycD//hyfC//hypB//hycG//hypE//hyfB//hycC//hycI//hypC//hyfA//hypA//hyfJ//hyfG//
FlhDC	napC//fliG//nrfG//fliJ//napF//fliM//fliZ//ccmE//hypF//fliA//nrfF//ccmD//nrfB//nrfA//fliK//gltL//napA//napD//tcyJ//pdeH//recC//fliF//flhE//ccmB//flgM//gltJ//flgE//flgB//fliD//ccmH//sroC//fliT//fliQ//ppdB//nrfC//mglB//ccmA//flgC//flgD//nrfE//flgN//mdh//fliR//fliP//glpA//nrfD//hydN//ccmC//ygbK//fliI//flhB//fliS//fliH//ycgR//gltK//napG//ccmG//flgJ//fliE//gltI//mglA//ppdA//napB//ygdB//napH//yecR//glpC//mglC//flgF//flgA//flhA//flgG//ccmF//fliO//ppdC//flgI//fliL//fliN//glpB//flgH//
FliZ	csgF//gadE//flhD//gadB//pdeR//csgB//csgE//yhiD//gadC//mdtE//osmY//csgC//mlrA//mdtF//hdeB//csgD//hdeA//csgG//csgA//flhC//
FucR	fucR//fucA//fucO//fucU//fucI//fucP//fucK//
Fur	sdhC//flhD//gspM//fepC//entE//nohA//sufD//fecD//gspF//sufS//sucA//fhuA//sucC//mntH//sdhA//fumC//nrdE//mntP//rpoS//cyoB//fepD//hmp//oppC//zinT//yjjZ//entA//gspI//fumB//oppF//gspH//gspC//feoB//sufE//fecB//gltF//ndh//ompF//fnr//ybdZ//metH//entH//exbD//fecA//entB//fepA//metJ//gltB//cyoE//fhuD//sdhD//gspK//nrdF//rcnA//sufB//nac//rnpB//purR//soxS//garR//cirA//fhuB//ygaC//gnd//garP//ftnA//entD//sodA//fur//grcA//entF//gdhA//sucB//sufA//fiu//gspE//fecE//fepG//fepB//fhuF//fecI//crl//glnD//gspL//nrdH//oppB//sufC//rcnB//feoC//fes//ryhB//ydfN//flhC//zwf//fepE//yqjH//katE//gltD//gspD//katG//sucD//oppA//fhuE//entC//feoA//cyoC//gspO//amtB//soxR//tonB//garL//lpd//tfaQ//cyoD//fecR//nrdI//exbB//oppD//sdhB//fecC//glnK//pyrC//cyoA//garK//yhhY//gspG//fhuC//aspC//gspJ//entS//gpmA//
GadE	cyoE//fliC//lpxA//lrp//gadE//cyoD//hdeD//gadB//lpxD//skp//gadW//gnd//gltD//cyoB//rcsA//gltF//yhiD//gadC//mdtE//fabZ//purA//cyoA//cyoC//gadX//hdeB//mdtF//hdeA//gltB//
GadE-RcsB	adiC//cadB//dctR//slp//yhiM//gadX//cadA//aslB//gadA//
GadW	mdtE//gadC//dctR//slp//gadY//gadE//gadB//gadX//hdeB//mdtF//gadW//hdeA//yhiD//gadA//
GadX	slp//btuB//gadE//rpoS//hdeD//gadB//hns//cadA//gadW//murI//yhiD//gadA//gadC//mdtE//cadB//dctR//glnK//gadY//ybaT//gadX//hdeB//mdtF//ybaS//amtB//hdeA//uspE//lon//asnB//
GalR	galS//galR//mglC//galT//mglA//galE//galK//galP//mglB//galM//
GalS	galS//galR//mglC//galT//mglA//galE//galK//galP//mglB//galM//
GatR	gatD//gatZ//gatC//gatA//gatY//gatB//
GcvA	gcvH//gcvB//gcvT//gcvP//gcvA//
GlcC	glcF//glcA//glcB//glcG//glcD//glcE//glcC//
GlpR	glpX//glpF//glpK//glpQ//glpD//glpC//glpA//glpT//glpB//
GlrR	glmY//
GntR	idnR//idnO//idnD//edd//gntT//idnK//gntU//gntX//idnT//eda//nfuA//gntK//
GutM	srlE//srlR//gutM//srlA//gutQ//srlD//srlB//
GutR	srlE//srlR//gutM//srlA//gutQ//srlD//srlB//
H-NS	fimE//slp//nhaR//flhD//rrlC//gabD//yfaE//rrfB//gspM//nhaA//cas1//fliA//rcsB//srlE//yjjP//gspF//hdfR//fimD//srlB//cysU//hisM//fimI//acrF//rrfD//galT//yciE//evgS//lhgO//casC//fimB//cydA//rrsD//nirB//caiC//gspI//srlA//fliC//gspH//gadE//gspC//cysP//caiA//gspA//fimH//caiT//cysM//ybdZ//casE//chiA//hchA//proX//ileV//csiE//smtA//rrsH//yciF//rrfG//hdeD//bglG//hns//gspK//caiF//nrdA//lacY//rrlG//gadA//rnpB//mdtE//alaV//casB//thrV//nrdD//gltU//garR//hdeB//bolA//adeD//gabT//appY//relA//csiD//galM//gltW//nirC//ilvI//lrp//rcsD//rrlB//dps//fliZ//ilvH//garP//proV//ftnA//lacZ//osmC//ydeP//srlD//rrlH//entF//cysA//tcyJ//mdtF//hdeA//caiE//gspE//cas2//leuO//fau//ydeO//degP//fimA//rcsA//stpA//cysW//caiD//cspD//yciG//cadB//dctR//yhiM//alaU//gspL//yjjQ//gadX//cadC//mazE//fes//rrlD//rrfC//cydB//flhC//gutM//bglF//fepE//cadA//asr//rrsC//gspD//adiY//bglJ//mukE//gltT//evgA//ileU//casA//fimG//gspO//casD//nrdB//mukB//nrdG//rrsG//rrsB//garL//hisP//proW//ssrS//gabP//gspB//lacA//cysG//fimC//gadW//hisQ//micF//yhiD//mukF//rrfF//hlyE//nirD//srlR//gutQ//fimF//acrE//garK//bglB//rrfH//adiA//galE//gspG//mazF//gspJ//galK//caiB//hisJ//
HcaR	hcaF//hcaR//hcaC//hcaD//hcaE//hcaB//
HdfR	gltD//gltF//flhD//gltB//flhC//
HipAB	mazF//mazE//relA//hipA//hipB//
HipB	mazF//mazE//relA//hipA//hipB//fadH//
HU	pgm//seqA//tyrP//galT//galE//mtr//galK//galM//micF//
HyfR	hyfI//hyfD//hyfE//hyfC//hyfH//hyfB//hyfF//hyfR//hyfA//hyfJ//focB//hyfG//
HypT	metN//fecE//fecD//cysH//metB//metL//cydA//metQ//fecB//metI//fecA//cydB//fecC//
IclR	aceK//aceA//iclR//aceB//
IdnR	idnR//idnK//idnO//gntU//idnD//idnT//gntK//
IlvY	ilvC//ilvY//
IscR	napC//hyaE//hyaD//napF//sufE//hyaC//hyaF//iscS//sufD//napG//sufS//hyaA//napD//napA//ydiU//sufA//napB//nrdE//napH//nrdF//rnlA//nrdI//erpA//sufB//iscA//nrdH//sufC//iscU//hyaB//rnlB//iscR//nfuA//
KdgR	edd//eda//
KdpE	kdpF//kdpB//kdpA//kdpC//
LacI	lacZ//lacA//lacY//
LeuO	bglF//bglG//leuL//leuA//leuD//bglJ//cas1//leuC//casC//leuB//casB//casE//casA//yjjQ//bglB//cadC//casD//dsrA//leuO//cas2//
LexA	symE//rpsU//ftsW//yafO//ftsA//dinI//umuC//recX//murC//mraY//ybfE//lpxC//dinG//yafQ//murG//tisB//murE//polB//dinJ//uvrA//sbmC//murD//uvrD//lexA//umuD//murF//rpoD//recA//yafN//ftsL//ruvA//phr//hokE//sulA//ftsZ//ptrA//dinF//insK//dnaG//ftsK//recB//ydjM//recD//ddlB//ruvB//dinQ//ftsI//uvrY//yafP//dinD//cho//yebG//uvrB//molR_1//ssb//uvrC//recN//dinB//ftsQ//
LldR	lldD//lldR//lldP//
LrhA	fimE//flhD//lrhA//flhC//
LsrR	tam//lsrD//lsrG//lsrB//lsrC//lsrF//lsrK//lsrA//lsrR//
LysR	lysA//lysR//
MalI	malX//malI//malY//
MalT	malQ//malG//malE//malZ//lamB//malS//malK//malP//malF//malM//
MarA	marA//slp//nfo//acrA//zwf//waaY//nfsA//inaA//yncE//acrZ//tolC//marR//sodA//ybjN//acnA//pqiB//putA//acrB//poxB//hdeA//fumC//ygiB//ybaO//ybjC//nfsB//rob//ygiC//rimK//waaZ//micF//yhiD//pqiA//dctR//purA//marB//hdeB//fpr//ygiA//
MarR	marA//marB//marR//
MatA	fliC//flhD//ecpA//tcyJ//fliZ//ecpR//fliA//flhC//
MazE	mazF//mazE//mazG//
MazE-MazF	mazF//mazE//mazG//
McbR	yciG//mcbA//yciF//yciE//
MelR	melA//melR//melB//
MetJ	metN//metK//metB//metL//metF//metQ//metE//metC//yeiB//folE//ahpC//metI//metR//metA//ahpF//
MetR	hmp//metR//metH//metE//glyA//
MhpR	mhpF//mhpD//mhpA//mhpE//mhpB//mhpC//
Mlc	ptsI//manZ//crr//ptsG//ynfK//ptsH//manY//mlc//manX//malT//
MlrA	csgF//ibaG//rplU//rpmA//cadC//csgD//csgG//csgE//
MngR	mngA//mngR//mngB//
MntR	mntS//dps//mntH//rybA//mntP//
ModE	napC//hycA//oppF//modB//moaA//napF//deoD//moaC//ccmE//ccmC//ccmD//hycB//oppA//narX//hycE//deoB//napG//hycD//ccmG//moaB//hycG//napA//napD//modC//napB//napH//modA//ccmF//dmsB//hycH//narL//ccmB//oppD//dmsA//moaD//hycF//dmsC//moaE//oppB//ccmH//deoA//oppC//hycI//hycC//deoC//ccmA//
MprA	mprA//acrA//emrA//emrB//acrB//nmpC//
MqsA	mqsR//mqsA//rpoS//cspD//
MtlR	mtlD//mtlR//mtlA//
MurR	murR//murP//murQ//
Nac	ydcU//codB//gabP//gabD//codA//mioC//gltD//ydcT//gltF//nac//mnmG//patD//ydcV//serA//gdhA//nupC//gabT//asnC//feaR//ydcS//gltB//
NadR	nadB//pnuC//nadA//pncB//
NagC	nanM//dinI//glmS//nagC//feoB//chbB//chbR//nagB//ydeP//manZ//feoA//creD//creC//chiP//ydeN//manX//ybfN//chbF//glmU//chbC//creA//creB//manY//galP//ydeM//chbG//nagA//nanS//umpH//ptsI//fimB//crr//nagE//nanC//ptsH//feoC//chbA//
NanR	yhcH//nanE//fimB//nanM//nanC//yjhC//nanT//yjhB//nanS//nanA//nanK//
NarL	ynfF//ydhT//nirC//napC//hybC//fdnG//nrfG//norV//ydhU//ogt//napF//fdhF//nuoI//nikR//hyaF//hyaC//nuoC//ccmE//nuoM//nuoJ//dmsD//nrfF//ccmD//dcuS//nrfB//fdnH//nuoB//ydeP//nrfA//nikC//nuoH//torA//hyaA//napA//napD//nikB//moeA//hybA//aspA//torD//adhE//yeaR//ubiC//nuoG//ynfH//ynfE//ubiA//citD//citG//ydhV//cydC//ccmB//nuoN//moeB//dmsA//frdB//ynfG//nuoA//nikD//dmsC//focA//nikA//ccmH//frdD//hybO//nrfC//nirB//nikE//narH//dcuB//citE//dcuR//cydD//ccmA//pflB//ydhW//nrfE//citC//fumB//yoaG//frdC//nuoL//hyaD//hyaE//nuoK//nrfD//citX//hcr//dpiB//ccmC//frdA//hybE//norW//ydhX//hybD//hybG//narJ//citF//napG//dpiA//ccmG//nuoF//napB//narI//nuoE//napH//torC//cysG//narK//ccmF//caiF//dmsB//ytfE//hcp//dcuA//nirD//hybF//ydhY//narG//hyaB//fdnI//hybB//
NarP	ydhT//nrfE//nirC//napC//fdnG//yoaG//nrfG//hyaE//hyaD//norV//ydhU//nrfD//napF//hcr//fdhF//hyaF//hyaC//ccmE//ccmC//nrfF//ccmD//nrfB//norW//ydhX//fdnH//ydeP//nrfA//napG//ccmG//hyaA//napD//napA//napB//yeaR//napH//cysG//ccmF//ydhV//ytfE//hcp//ccmB//nirD//ccmH//ydhY//hyaB//nrfC//nirB//fdnI//ccmA//ydhW//
NemR	gloA//nemR//nemA//
NhaR	pgaA//nhaA//pgaB//nhaR//pgaD//pgaC//osmC//
NikR	nikR//nikB//nikC//nikE//nikA//nikD//
NorR	norV//norW//norR//
NrdR	nrdD//nrdH//yfaE//nrdF//nrdI//nrdA//nrdB//nrdG//nrdE//
NsrR	hycA//nrfG//lrp//dkgB//feaB//grxD//fliZ//fliA//nrfF//hycB//thrS//tehA//nrfB//sufD//nrfA//hycD//sufS//tcyJ//rffA//tehB//sufA//ydbD//hypA//yeaR//norR//wzzE//rplT//hycH//mhpT//rybB//rffH//hycF//hmp//sufC//hycC//hypC//wecB//nrfC//nrfE//mepH//yoaG//pheM//hypD//dsdC//bamE//sodB//nrfD//bdcA//hcr//sufE//pheT//pheS//wecC//hycE//ndh//fhlA//ygbA//cdd//aceE//hycG//hypB//rffG//rffM//rfe//tadA//rffC//wzxE//yeaE//pgpC//rffT//ytfE//hcp//tsgA//aceF//wzyE//sufB//rpmI//waaH//infC//hypE//ihfA//hycI//feaR//
NtrC	patA//glnG//astD//potG//glnP//argT//yhdX//potI//cbl//glnA//rutG//yeaH//astC//ddpX//ddpC//glnQ//glnL//hisM//amtB//yhdW//ddpB//astA//yhdY//hisP//ddpD//rutC//glnH//astE//rutA//yhdZ//hisQ//ddpF//potH//rutB//rutD//nac//astB//glnK//rutF//potF//rutE//relA//yeaG//ddpA//hisJ//
OmpR	dtpA//csgF//omrA//flhD//ecnB//pgaA//omrB//pgaB//micF//csgE//sra//pgaD//pgaC//ompF//nmpC//bolA//csgD//csgG//fadL//flhC//ompC//
OxyR	uxuA//gor//uxuB//hcr//sufE//nfsA//dps//ychF//flu//katG//fur//sufD//ybjN//sufS//ahpC//dsbG//sufA//mntH//ahpF//gntP//ybjC//rimK//fhuF//isrC//hcp//hemH//sufB//oxyS//sufC//grxA//trxC//oxyR//uof//yhjA//
PaaX	paaI//paaC//paaH//paaZ//paaA//paaG//paaX//paaF//paaD//paaY//paaJ//paaK//paaB//paaE//
PdhR	ftsW//ftsA//murC//mraY//fecB//lpxC//rsmH//murG//ndh//murE//fecD//grcA//murD//aceE//cyoC//murF//hha//tomB//fecA//ftsL//pdhR//hemL//fecE//cyoE//glcB//lpd//ftsZ//cyoD//cyoB//glcA//glcD//glcG//mraZ//aceF//ddlB//fecC//ftsI//glcE//cyoA//glcF//ftsQ//
PepA	pepA//carB//carA//
PgrR	mpaA//ymjD//ymjC//ycjY//
PhoB	phnI//pstS//phoH//phoA//psiE//tktB//pitB//asr//yhjC//psiF//phnJ//cusF//phnP//phnK//adiC//ompF//sbcC//phnE_1//cusB//phnN//prpR//cusS//pstA//pstB//pstC//mipA//phnL//phnC//eda//cusC//phoR//ugpQ//phnH//yegH//gadW//phnD//ugpE//ugpB//phoQ//phoB//argP//amn//phnG//ydfH//phnE_2//ugpC//phnM//cusA//waaH//sbcD//phoE//gadX//ugpA//phoU//cusR//phnF//yedX//phnO//feaR//cra//
PhoP	glgA//purD//slyB//acrA//pagP//malS//gadE//rstB//tolC//ybjG//yrbL//ydeP//rutG//cysB//purH//safA//ompT//iraM//acrB//yneM//mgrR//argD//mgtA//hdeA//hemL//fadL//dcuD//ygiB//ydeO//metB//rstA//metL//rutC//hdeD//ygiC//gadW//rutA//phoQ//borD//glgP//nagA//rutB//yhiD//rutD//mgrB//mgtL//rutF//glgC//phoP//hdeB//glgX//glgB//rutE//ygiA//treR//
PrpR	prpE//prpC//prpD//prpR//prpB//
PspF	pspG//pspD//pspC//pspE//pspA//pspF//pspB//
PurR	cvpA//purN//purD//gcvT//codB//purB//purE//purK//codA//pyrD//purM//hflD//prs//purC//carA//guaB//glnB//purF//ubiX//purR//purA//pyrC//purH//gcvP//speB//gcvH//carB//guaA//purL//glyA//speA//
PutA	putP//putA//
PuuR	puuC//puuA//puuE//puuP//puuB//puuR//puuD//
QseB	qseB//flhD//qseC//flhC//
RbsR	purD//rbsR//add//rbsD//purH//rbsC//rbsB//rbsA//rbsK//
RcdA	csgF//sulA//bluF//asr//yagK//csgD//csgG//csgE//ydeI//
RcnR	rcnB//rcnR//rcnA//
RcsAB	csgF//flhD//yjbG//rcsA//wcaB//csgE//wza//yjbE//wcaA//yjbH//csgD//wzc//csgG//yjbF//wzb//flhC//
RcsB	ydeO//ftsZ//ftsA//hdeD//gadB//rarA//osmC//osmB//yhiD//sra//gadA//gadC//rprA//ydeP//bdm//gadY//safA//gadX//hdeB//lolA//hdeA//
RcsB-BglJ	bglF//ykiA//yecT//bglG//ygiZ//ynbA//ynbC//bglB//yidL//molR_1//ynbD//ynjI//yqhG//ynbB//sfsB//leuO//
RelB	hokD//relE//relB//
RelB-RelE	hokD//relE//relB//
RhaR	rhaS//rhaR//
RhaS	rhaB//rhaS//rhaT//rhaR//rhaA//rhaD//
Rob	ygiB//marA//nfo//ldtB//acrA//zwf//ybjC//ygiC//rob//nfsB//rimK//nfsA//inaA//acrZ//tolC//micF//marR//sodA//mltF//ybjN//acnA//marB//acrB//aslB//ygiA//fumC//
RstA	ompF//csgF//narJ//asr//narG//csgD//narH//csgG//narI//csgE//
RtcR	rtcA//rtcB//
RutR	rutC//fepB//gadW//rutR//rutA//pdeR//carA//rutB//rutD//nemR//rutG//nemA//rutF//gadX//gloA//carB//rutE//
SdiA	gadW//ftsZ//ftsA//ydiV//ftsQ//
SgrR	thiQ//tbpA//sgrT//alaC//sgrR//sgrS//sroA//thiP//setA//
SlyA	hlyE//
SoxR	soxR//soxS//fumC//
SoxS	marA//nfo//acrA//zwf//ptsG//waaY//nfsA//inaA//acrZ//tolC//marR//sodA//fur//ybjN//pgi//ydbK//acnA//pqiB//acrB//poxB//fumC//ygiB//ompN//ybjC//fldB//nfsB//rob//ygiC//rimK//waaZ//micF//pqiA//marB//soxS//fldA//ribA//zinT//uof//fpr//ygiA//
StpA	fau//bglF//ssrS//stpA//bglG//leuO//bglB//
TdcA	tdcA//tdcD//tdcF//tdcC//tdcG//tdcE//tdcB//
TdcR	tdcA//tdcD//tdcF//tdcC//tdcG//tdcE//tdcB//
TorR	tnaB//torC//tnaA//torA//gadX//hdeB//torR//hdeA//tnaC//yhiD//torD//gadA//
TreR	treC//treB//
TrpR	aroM//trpC//trpL//trpR//yaiA//aroH//trpD//mtr//trpE//trpA//trpB//aroL//
TyrR	aroM//tyrP//folA//aroG//aroF//aroP//tyrA//yaiA//tyrB//mtr//aroL//tyrR//
UhpA	uhpT//
UidR	uidB//uidR//uidC//uidA//
UlaR	ulaE//ulaC//ulaB//ulaD//ulaF//ulaA//ulaG//
UxuR	uxuA//uidB//uxuB//uidC//uidA//gntP//uxuR//lgoR//
XapR	xapB//xapA//
XylR	xylG//xylB//xylA//xylR//xylF//xylH//
YdeO	ydeO//slp//hyaE//hyaD//gadE//gadW//hyaF//hyaC//appC//yiiS//mdtE//dctR//safA//appB//hyaA//uspD//mdtF//appX//hyaB//appA//
YefM	yoeB//yefM//
YefM-YoeB	yoeB//yefM//
YehT	yjiY//
YeiL	yeiL//
YiaJ	yiaO//sgbH//lyxK//yiaK//sgbE//yiaL//yiaM//sgbU//yiaN//yiaJ//
YpdB	yhjX//
YqhC	dkgA//yqhD//
YqjI	yqjH//yqjI//
ZntR	zntA//
ZraR	zraR//zraP//zraS//
Zur	znuA//znuC//zinT//ykgM//znuB//ykgO//
