GO ID	GO name	Genes in GO	Children of GO	Parents of GO
GO:0030163	protein catabolic process	prc,ftsH,aat,clpS,ycbZ,lon,hslV,	GO:1901143,GO:0099546,GO:0036503,GO:0044257,GO:0052363,GO:0010498,GO:0044254,	GO:0019538,GO:0009057,
GO:0046657	folic acid catabolic process	abgB,abgA,		GO:0016054,GO:0042365,GO:0009397,GO:0046655,
GO:0006865	amino acid transport	tnaB,glnP,sstT,puuP,brnQ,yhdX,rhtA,mtr,tcyL,proV,livG,abgT,gadC,livK,putP,metQ,tdcC,pheP,gltL,aroP,leuE,tcyJ,livJ,hisM,glnQ,yhdW,frlA,mmuP,argO,proY,livH,eamB,cadB,gltJ,alaE,livF,ydgI,ansP,tcyN,potE,argT,artJ,eamA,tcyP,yifK,artP,lysP,artI,rhtC,adiC,gltK,ybaT,plaP,yahN,gltI,proX,livM,yhdY,hisP,proW,gabP,cycA,glnH,yddG,artQ,metI,yhdZ,hisQ,lysO,metN,tyrP,rhtB,proP,artM,hisJ,	GO:0015830,GO:0061536,GO:0043090,GO:0000101,GO:0034589,GO:0032973,GO:0003333,GO:0015803,GO:0015800,GO:0015802,GO:1902024,GO:0015801,GO:1902023,GO:1902022,GO:0015804,GO:0006860,	GO:0015849,GO:0071705,
GO:0015814	p-aminobenzoyl-glutamate transport	abgT,	GO:1902604,	GO:0006835,
GO:1902604	p-aminobenzoyl-glutamate transmembrane transport	abgT,		GO:0015814,GO:0098656,
GO:0051607	defense response to virus	cas3,casB,abpA,casE,casA,mazF,recB,casD,abpB,cas1,recD,recC,cas2,casC,	GO:0009616,	GO:0098542,GO:0002252,GO:0009615,
GO:0010212	response to ionizing radiation	yabI,ybjN,ybgI,dnaB,yebC,recA,abpB,yafC,radD,yhgF,	GO:0010165,GO:0071479,GO:0010332,	GO:0009314,
GO:0010468	regulation of gene expression	flk,rpoS,bssR,rpoH,prmC,dksA,rsd,abrB,rssB,rpoD,hha,fliA,narL,	GO:0006355,GO:1902796,GO:0010629,GO:0010608,GO:0010793,GO:0050684,GO:2000232,GO:0032922,GO:0036206,GO:0043484,GO:0040029,GO:0046782,GO:0039656,GO:0010628,GO:1900095,GO:0002331,GO:0060968,GO:1903317,GO:2000235,GO:0007468,	GO:0060255,
GO:0010628	positive regulation of gene expression	cusR,abrB,qseB,lysR,cusS,	GO:0033120,GO:0045815,GO:2000237,GO:0036207,GO:0050685,GO:1903319,GO:0050434,GO:0045727,GO:0060969,GO:2000234,GO:0045893,GO:0045872,GO:1902798,GO:1903800,GO:1903705,	GO:0010604,GO:0010468,
GO:0006629	lipid metabolic process	pgsA,yjjU,fabH,arnE,fabD,eptC,eptB,hdhA,pldB,fadJ,clsB,arnF,atoB,arnT,tesA,fabR,accB,fadA,fadD,ygiH,fabF,atoA,clsA,lpxD,lpxB,fadK,pldA,pgpB,eptA,accD,accA,fabB,ahr,fabA,lpxA,arnC,paaF,psd,lpxC,arnA,yegS,fabZ,fabI,arnD,lpxH,acpS,lpxK,cdh,ugpQ,glpQ,ybgC,pgpC,pgpA,arnB,gpsA,plsX,fadE,ynbC,rssA,pssA,cfa,plsB,plsC,dgkA,fabG,clsC,atoD,fadR,cdsA,fadI,acpH,accC,fadB,acpP,	GO:0016042,GO:2001302,GO:1903509,GO:1902925,GO:1900555,GO:1900533,GO:0097089,GO:1901751,GO:0036102,GO:0008202,GO:0044255,GO:1902898,GO:0008610,GO:1903173,GO:1903964,GO:2001304,	GO:0044238,GO:0044710,GO:0071704,
GO:0006633	fatty acid biosynthetic process	fabA,fabH,fabF,fabD,plsX,acpT,cfa,fabG,fabZ,fabI,accA,accD,fabB,acpH,accC,acpS,fabR,accB,acpP,	GO:0042759,GO:0071768,GO:0000954,GO:0009107,GO:0051790,GO:0044578,GO:0051792,GO:0030497,GO:0006636,GO:0042761,	GO:0006631,GO:0072330,GO:0008610,
GO:0042759	long-chain fatty acid biosynthetic process	accD,accA,	GO:0051122,	GO:0006633,GO:0001676,
GO:2001295	malonyl-CoA biosynthetic process	accC,accD,accA,		GO:2001293,GO:0071616,
GO:0045717	negative regulation of fatty acid biosynthetic process	accC,fabR,	GO:1900495,GO:0031393,GO:1900501,	GO:0051055,GO:0042304,GO:0045922,GO:0031327,
GO:0006417	regulation of translation	ihfB,ettA,raiA,rsfS,rpsD,rplJ,yciH,thrS,rpsO,arfB,rplD,rmf,secM,accD,ihfA,acnB,rplA,mazF,uof,hpf,arfA,thyA,rpsH,	GO:0099547,GO:1904971,GO:0045974,GO:0006448,GO:2000765,GO:0045727,GO:0043143,GO:0044073,GO:0046011,GO:0006449,GO:1904803,GO:0097167,GO:0017148,GO:0043555,GO:0060815,GO:0060964,GO:0009386,GO:0072344,GO:0070129,GO:0006446,GO:0006451,	GO:0032268,GO:0010608,GO:2000112,GO:0034248,
GO:0017148	negative regulation of translation	yafO,rplD,rplY,higB,accD,rsfS,mqsR,relE,rplT,rpsG,hpf,	GO:2000766,GO:0044074,GO:1904972,GO:0070130,GO:0045902,GO:0040033,GO:0045947,GO:0045900,GO:0007319,GO:0032055,GO:0035195,GO:0061157,GO:0045904,	GO:0034249,GO:2000113,GO:0010629,GO:0032269,GO:0006417,
