# From ~/gensor_units/perl_scripts/GOs_in_GUs.pl on Fri Sep 30 09:59:04 2016
# Input = ~/gensor_units/datasets/GOs_Pathways_in_GENSORUnits/GOs_table.txt ~/gensor_units/datasets/GOs_Pathways_in_GENSORUnits/TF_genes.txt 
GU	GO ID	Genes in overlap
ArgR	GO:0042450	argH,argD,astC,
ArgR	GO:0051262	argH,
ArgR	GO:0000050	argG,carB,carA,argI,argF,
ArgR	GO:0000053	argG,
ArgR	GO:0006810	artI,artJ,hisQ,hisP,hisJ,artP,artQ,lysO,hisM,artM,
ArgR	GO:0006865	hisM,artJ,artP,artI,hisP,artQ,hisQ,lysO,artM,hisJ,
ArgR	GO:0015809	artJ,
ArgR	GO:1902765	artQ,artJ,artM,artP,
ArgR	GO:0003333	artP,hisP,hisQ,artM,
ArgR	GO:0006508	argE,
ArgR	GO:0006537	gltD,gltB,
ArgR	GO:0006807	gltD,carB,gltB,
ArgR	GO:0097054	gltD,gltB,
ArgR	GO:0006412	rimP,rpsO,infB,
ArgR	GO:0042254	rimP,rbfA,
ArgR	GO:0042274	rimP,
ArgR	GO:0000028	rimP,
ArgR	GO:0006541	carA,gltB,
ArgR	GO:0006207	carA,
ArgR	GO:0006221	carA,carB,
ArgR	GO:0044205	carB,carA,
ArgR	GO:0006417	rpsO,
ArgR	GO:0006378	rpsO,
ArgR	GO:0006520	astC,argD,argI,argF,
ArgR	GO:0006593	astC,
ArgR	GO:0009085	argD,
ArgR	GO:0009089	argD,
ArgR	GO:0033359	argD,
ArgR	GO:0019856	carB,
ArgR	GO:0006351	argR,nusA,
ArgR	GO:0006355	argR,nusA,
ArgR	GO:0006310	argR,
ArgR	GO:0042150	argR,
ArgR	GO:0051259	argR,
ArgR	GO:2000143	argR,
ArgR	GO:0006591	argI,argF,
ArgR	GO:0044238	argI,argF,
ArgR	GO:0019676	gltB,
ArgR	GO:0016310	argB,
ArgR	GO:0006974	argB,argF,rbfA,
ArgR	GO:0015817	hisP,
ArgR	GO:0006413	infB,
ArgR	GO:0006400	truB,
ArgR	GO:0006396	truB,pnp,
ArgR	GO:0008033	truB,
ArgR	GO:0031119	truB,
ArgR	GO:0001522	truB,
ArgR	GO:1990481	truB,
ArgR	GO:0009408	pnp,
ArgR	GO:0006402	pnp,
ArgR	GO:0090503	pnp,
ArgR	GO:0006281	nusA,
ArgR	GO:0031564	nusA,
ArgR	GO:0006353	nusA,
ArgR	GO:0031554	nusA,
ArgR	GO:0009409	rbfA,
ArgR	GO:0006364	rbfA,
ArgR	GO:0030490	rbfA,
ArgR	GO:1903401	lysO,
ArsR	GO:0006810	arsB,
ArsR	GO:0015699	arsB,
ArsR	GO:0015700	arsB,
ArsR	GO:0046685	arsB,arsR,arsC,
ArsR	GO:0006351	arsR,
ArsR	GO:0006355	arsR,
ArsR	GO:0055114	arsC,
ArsR	GO:0006974	arsC,
AscG	GO:0006810	ascF,ybiT,
AscG	GO:0008152	ascB,ybiT,
AscG	GO:0009409	ybiT,
AscG	GO:0006974	htpG,
AscG	GO:0006457	htpG,
AscG	GO:0009408	htpG,
AscG	GO:0016310	ascF,
AscG	GO:0008643	ascF,
AscG	GO:0009401	ascF,
AscG	GO:0034219	ascF,
AscG	GO:0006351	prpR,
AscG	GO:0006355	prpR,
AscG	GO:0045893	prpR,
AscG	GO:0019629	prpR,
AscG	GO:0045892	prpR,
AscG	GO:0000160	prpR,
AscG	GO:0005975	ascB,
AsnC	GO:0006351	asnC,
AsnC	GO:0006355	asnC,
AsnC	GO:0045893	asnC,
AsnC	GO:0045892	asnC,
AsnC	GO:0043200	asnC,
AsnC	GO:0006974	asnA,
AsnC	GO:0008652	asnA,
AsnC	GO:0006418	asnA,
AsnC	GO:0006529	asnA,
AsnC	GO:0070981	asnA,
AsnC	GO:0055114	mioC,
AsnC	GO:0009102	mioC,
AsnC	GO:0008033	mnmG,
AsnC	GO:0002098	mnmG,
AsnC	GO:0030488	mnmG,
AtoC	GO:0006810	atoE,
AtoC	GO:0006631	atoA,atoD,atoB,
AtoC	GO:0008152	atoA,atoD,atoB,
AtoC	GO:0006629	atoB,atoA,atoD,
AtoC	GO:0046459	atoA,atoD,
BaeR	GO:0061077	spy,
BaeR	GO:0006351	baeR,
BaeR	GO:0006355	baeR,
BaeR	GO:0045893	baeR,
BaeR	GO:0000160	baeR,baeS,
BaeR	GO:2000144	baeR,
BaeR	GO:2001023	baeR,
BaeR	GO:0016310	baeS,
BaeR	GO:0007165	baeS,
BaeR	GO:0018106	baeS,
BaeR	GO:0023014	baeS,
BaeR	GO:0046777	baeS,
BaeR	GO:0006810	acrD,mdtD,mdtB,mdtC,mdtA,
BaeR	GO:0042493	acrD,
BaeR	GO:0006855	mdtC,acrD,mdtB,mdtA,
BaeR	GO:0046618	mdtC,acrD,
BaeR	GO:0055085	mdtD,mdtA,
BasR	GO:0006351	cspI,fimB,qseB,putA,csgD,hha,
BasR	GO:0006355	cspI,fimB,qseB,putA,csgD,hha,
BasR	GO:0006974	fimB,
BasR	GO:0006310	fimB,
BasR	GO:0015074	fimB,
BasR	GO:0044010	csgF,csgE,tomB,csgG,
BasR	GO:0022610	csgF,csgG,csgE,
BasR	GO:0008654	dgkA,
BasR	GO:0006629	dgkA,
BasR	GO:0016310	dgkA,qseC,
BasR	GO:0006654	dgkA,
BasR	GO:0008152	putA,
BasR	GO:0055114	putA,
BasR	GO:0045892	putA,
BasR	GO:0006561	putA,
BasR	GO:0006560	putA,
BasR	GO:0010133	putA,
BasR	GO:0045893	qseB,
BasR	GO:0010628	qseB,
BasR	GO:0000160	qseB,qseC,
BasR	GO:0010038	qseB,
BasR	GO:0009372	qseB,
BasR	GO:2000144	csgD,
BasR	GO:1900190	csgD,
BasR	GO:0010468	hha,
BasR	GO:0009409	cspI,
BasR	GO:0071806	csgG,csgE,
BasR	GO:0018106	qseC,
BasR	GO:0023014	qseC,
BetI	GO:0006810	betT,
BetI	GO:0006974	betT,
BetI	GO:0019285	betT,betB,betI,betA,
BetI	GO:0015871	betT,
BetI	GO:0055114	betA,betB,
BetI	GO:0006970	betA,betI,betB,
BetI	GO:0006351	betI,
BetI	GO:0006355	betI,
BetI	GO:0045892	betI,
BirA	GO:0008152	bioC,bioF,
BirA	GO:0009058	bioF,
BirA	GO:0009102	bioF,bioB,bioC,bioD,bioA,
BirA	GO:0032259	bioC,
BluR	GO:0071229	ycgZ,ariR,
BluR	GO:0044010	ymgC,ariR,
BluR	GO:0042542	ariR,
BluR	GO:1900191	ymgA,
BolA	GO:0042493	dacC,
BolA	GO:0008360	dacC,
BolA	GO:0009252	dacC,
BolA	GO:0071555	dacC,
BolA	GO:0006508	dacC,
BolA	GO:0046677	ampC,
BolA	GO:0017001	ampC,
CadC	GO:0006351	cadC,
CadC	GO:0006355	cadC,
CadC	GO:0045893	cadC,
CadC	GO:0000160	cadC,
CadC	GO:0006810	cadB,
CadC	GO:0006865	cadB,
CadC	GO:0015992	cadB,
CadC	GO:0003333	cadB,
CadC	GO:0015839	cadB,
CadC	GO:1903401	cadB,
CadC	GO:0006520	cadA,
CadC	GO:0006554	cadA,
CaiF	GO:0055114	fixX,fixC,caiA,fixB,fixA,
CaiF	GO:0033539	caiA,fixB,
CaiF	GO:0055088	caiA,fixB,
CaiF	GO:0009437	fixB,fixC,caiA,caiC,caiE,fixA,caiB,caiD,caiT,
CaiF	GO:0008152	caiC,caiA,caiD,
CaiF	GO:0042413	caiB,caiD,
CaiF	GO:0006810	caiT,
CaiF	GO:0055085	caiT,
CaiF	GO:0015879	caiT,
CaiF	GO:1900751	caiT,
CaiF	GO:1902270	caiT,
CaiF	GO:1902603	caiT,
Cbl	GO:0006810	ssuC,ssuB,ssuA,tauC,tauB,tauA,
Cbl	GO:0006790	ssuC,ssuA,tauD,
Cbl	GO:0042918	ssuC,ssuB,ssuA,
Cbl	GO:0010438	tauC,tauB,
Cbl	GO:0008152	ssuB,tauB,
Cbl	GO:0015734	tauA,tauB,
Cbl	GO:0015837	tauB,
Cbl	GO:0055114	tauD,ssuE,ssuD,
Cbl	GO:0009408	ssuD,
Cbl	GO:0046306	ssuE,ssuD,
Cbl	GO:0009970	tauA,ssuE,
Cbl	GO:0006974	ssuE,
Cbl	GO:0051289	ssuE,
CdaR	GO:0008152	gudD,gudX,
CdaR	GO:0042838	gudD,garL,garK,garR,
CdaR	GO:0019394	gudD,garL,
CdaR	GO:0046392	garL,garD,garK,garR,
CdaR	GO:0009063	gudX,
CdaR	GO:0044248	gudX,
CdaR	GO:0016310	garK,
CdaR	GO:0031388	garK,
CdaR	GO:0006351	cdaR,
CdaR	GO:0006355	cdaR,
CdaR	GO:0045893	cdaR,
CdaR	GO:0055114	garR,
CdaR	GO:0046487	garR,
CdaR	GO:0006810	garP,gudP,
CdaR	GO:0055085	garP,gudP,
CdaR	GO:0015711	gudP,garP,
ChbR	GO:0006810	chbC,chbB,chbA,
ChbR	GO:0008152	chbF,chbA,
ChbR	GO:0008643	chbB,chbA,chbC,
ChbR	GO:0009401	chbB,chbC,chbA,
ChbR	GO:0034219	chbB,chbC,chbA,
ChbR	GO:0051260	chbA,
ChbR	GO:1902815	chbA,chbB,chbC,
ChbR	GO:0005975	chbF,chbG,
ChbR	GO:0000272	chbG,
ChbR	GO:0052777	chbG,chbF,
ChbR	GO:0006032	chbG,
ChbR	GO:0006351	chbR,
ChbR	GO:0006355	chbR,
ChbR	GO:0045892	chbR,
ChbR	GO:0016310	chbB,
ChbR	GO:0055114	chbF,
ComR	GO:0044010	bhsA,
ComR	GO:0046688	bhsA,
CpxR	GO:0044010	csgF,csgB,csgE,tomB,csgG,csgA,
CpxR	GO:0022610	csgF,csgG,csgE,
CpxR	GO:0006935	tsr,cheW,motA,motB,cheA,
CpxR	GO:0007165	tsr,cheW,cpxA,baeS,cheA,
CpxR	GO:0051649	cheW,cheA,
CpxR	GO:0007155	csgB,csgA,
CpxR	GO:1990000	csgB,csgA,
CpxR	GO:0006810	ompF,motA,acrD,ompC,mscM,mdtD,sbmA,mdtB,mdtC,mdtA,
CpxR	GO:0006855	mdtC,acrD,mdtB,mdtA,ompF,
CpxR	GO:0046618	mdtC,acrD,
CpxR	GO:0071806	csgG,csgE,
CpxR	GO:0042493	acrD,yqjA,
CpxR	GO:0006351	rseA,marA,rpoH,rseB,baeR,yaiW,csgD,marR,rpoE,cpxR,hha,
CpxR	GO:0006355	rseA,marA,rpoH,rseB,baeR,csgD,marR,rpoE,cpxR,hha,
CpxR	GO:0045893	baeR,marA,cpxR,
CpxR	GO:0000160	baeR,cpxA,cpxR,baeS,cheA,
CpxR	GO:2000144	csgD,baeR,
CpxR	GO:2001023	baeR,
CpxR	GO:0006974	ompC,ung,yidQ,
CpxR	GO:1900190	csgD,
CpxR	GO:0016310	rdoA,baeS,cheA,cpxA,
CpxR	GO:0018106	baeS,cpxA,cheA,
CpxR	GO:0023014	cpxA,baeS,cheA,
CpxR	GO:0046777	baeS,cpxA,cheA,
CpxR	GO:0043708	cpxA,
CpxR	GO:0008360	ldtC,bacA,
CpxR	GO:0009252	ldtC,bacA,
CpxR	GO:0071555	ldtC,bacA,slt,
CpxR	GO:0006508	ldtC,degP,
CpxR	GO:0043164	ldtC,
CpxR	GO:0018104	ldtC,
CpxR	GO:0006979	degP,rseC,
CpxR	GO:0006457	dsbA,ppiA,degP,dsbC,skp,
CpxR	GO:0006515	degP,
CpxR	GO:0009266	rpoE,degP,
CpxR	GO:0006629	lpxD,lpxA,psd,fabZ,
CpxR	GO:0009245	lpxA,lpxD,fabZ,
CpxR	GO:0046677	lpxD,sbmA,bacA,marA,bamE,marR,marB,
CpxR	GO:0055085	ompC,yqjA,sbmA,mscM,mdtD,mdtA,
CpxR	GO:0015031	sbmA,motA,
CpxR	GO:0015833	sbmA,
CpxR	GO:0042884	sbmA,
CpxR	GO:0042885	sbmA,
CpxR	GO:1901998	sbmA,
CpxR	GO:0030162	yccA,cpxP,
CpxR	GO:0043066	yccA,
CpxR	GO:0006811	mscM,ompC,motA,ompF,
CpxR	GO:0009992	mscM,
CpxR	GO:0071470	mscM,
CpxR	GO:0061077	ppiD,spy,
CpxR	GO:0006826	ftnB,
CpxR	GO:0006879	ftnB,
CpxR	GO:0016311	bacA,
CpxR	GO:1901652	yaiW,
CpxR	GO:0045892	marA,marR,cpxR,cpxP,rseB,
CpxR	GO:0009058	aroG,
CpxR	GO:0008652	aroG,
CpxR	GO:0009073	aroG,
CpxR	GO:0009423	aroG,
CpxR	GO:0000413	ppiD,ppiA,
CpxR	GO:0008610	lpxA,
CpxR	GO:0043165	bamE,skp,
CpxR	GO:0051205	bamE,
CpxR	GO:0008152	ung,dgcZ,
CpxR	GO:0051271	dgcZ,
CpxR	GO:0043709	dgcZ,
CpxR	GO:1902209	dgcZ,
CpxR	GO:0006281	ung,
CpxR	GO:0006284	ung,
CpxR	GO:0006352	rpoE,rpoH,
CpxR	GO:0010468	rpoH,hha,
CpxR	GO:0009408	rpoH,marR,
CpxR	GO:0001123	rpoH,
CpxR	GO:0030435	rpoH,
CpxR	GO:0001121	rpoH,
CpxR	GO:0043200	tsr,
CpxR	GO:0048870	tsr,
CpxR	GO:0055114	dsbC,dsbA,
CpxR	GO:0045454	dsbA,dsbC,
CpxR	GO:0071236	dsbA,marR,
CpxR	GO:0008654	psd,
CpxR	GO:0006646	psd,
CpxR	GO:0015992	motA,
CpxR	GO:0071973	motA,
CpxR	GO:0097588	motB,motA,
CpxR	GO:0034220	ompF,
CpxR	GO:0043213	ompF,
CpxR	GO:0006970	rpoE,
CpxR	GO:0006633	fabZ,
CpxR	GO:0045859	mzrA,
CpxR	GO:0043093	yqjA,
CpxR	GO:0006468	rdoA,
CpxR	GO:0051085	skp,
CpxR	GO:0050821	skp,
CpxR	GO:0065002	skp,
CpxR	GO:0022417	skp,
CpxR	GO:0032978	skp,
CpxR	GO:0009253	slt,
CpxR	GO:0000270	slt,
CpxR	GO:0015684	efeU_1,
CpxR	GO:0006827	efeU_1,
CpxR	GO:1903874	efeU_1,
CpxR	GO:0031400	cheA,
CpxR	GO:0035307	cheA,
Cra	GO:0006810	fruA,crr,setA,manX,mtlA,ptsH,betT,manZ,aroP,sgrT,ptsI,nirC,fruB,manY,
Cra	GO:0042128	nirC,nirD,nirB,
Cra	GO:0015707	nirC,
Cra	GO:0006096	gapA,lpd,glk,pfkA,aceF,fbaA,eno,gpmM,aceE,pgk,pykF,fbaB,tpiA,
Cra	GO:0055114	poxB,cydA,epd,cydB,betA,icd,cyoC,lpd,cyoD,nirD,cyoA,gapA,adhE,cyoB,nirB,aceE,aceF,mtlD,betB,zwf,cysG,
Cra	GO:0006006	gapA,aceK,zwf,epd,
Cra	GO:0044010	csgF,csgE,csgG,
Cra	GO:0022610	csgF,csgG,csgE,
Cra	GO:0006351	pdhR,betI,marA,mtlR,csgD,crp,marR,glcC,
Cra	GO:0006355	pdhR,betI,marA,mtlR,pdeL,csgD,crp,marR,glcC,
Cra	GO:0045892	mtlR,crp,betI,marA,marR,pdhR,
Cra	GO:0008152	edd,prpB,acnB,gpmM,ppc,tpiA,prpE,pykF,adhE,acnA,aceE,aceF,mtlD,pdeL,eda,pfkA,cysG,aceA,pck,
Cra	GO:0009255	edd,
Cra	GO:0051604	hypF,
Cra	GO:0046944	hypF,
Cra	GO:0006099	prpD,aceB,aceA,ppc,icd,prpC,aceK,acnA,acnB,
Cra	GO:0006107	ppc,
Cra	GO:0015977	ppc,
Cra	GO:0071806	csgG,csgE,aroP,
Cra	GO:0006097	aceK,acnA,aceB,aceA,acnB,icd,prpB,
Cra	GO:0019629	prpE,acnB,prpD,prpB,
Cra	GO:0006470	aceK,
Cra	GO:0016310	manX,glk,fruA,ptsI,mtlA,ptsH,pgk,ppsA,crr,aceK,fruB,fruK,pfkA,pykF,
Cra	GO:0016311	aceK,
Cra	GO:0018105	aceK,
Cra	GO:0050790	aceK,
Cra	GO:0055085	aroP,setA,
Cra	GO:0006865	aroP,
Cra	GO:0003333	aroP,
Cra	GO:0015823	aroP,
Cra	GO:0015827	aroP,
Cra	GO:0015828	aroP,
Cra	GO:0006090	ppsA,lpd,aceF,poxB,
Cra	GO:0051289	pfkA,poxB,pykF,
Cra	GO:0042867	poxB,
Cra	GO:2000144	csgD,
Cra	GO:1900190	csgD,
Cra	GO:0008643	manX,sgrT,fruA,ptsI,mtlA,ptsH,fruB,manZ,manY,crr,setA,
Cra	GO:0009401	manZ,manX,sgrT,manY,fruA,ptsI,crr,mtlA,ptsH,fruB,
Cra	GO:0034219	manX,fruA,mtlA,
Cra	GO:0032445	manY,fruB,fruA,manZ,manX,
Cra	GO:0015761	manY,manZ,manX,
Cra	GO:0015764	manY,manZ,manX,
Cra	GO:0061490	manY,manZ,manX,
Cra	GO:0019563	tpiA,
Cra	GO:0006094	ppsA,pck,tpiA,
Cra	GO:0006098	zwf,tpiA,
Cra	GO:0046166	tpiA,
Cra	GO:0006066	adhE,
Cra	GO:0006115	adhE,
Cra	GO:0015976	adhE,
Cra	GO:0019679	prpC,prpD,
Cra	GO:0051156	glk,
Cra	GO:0045893	crp,marA,pdhR,
Cra	GO:0045013	crp,
Cra	GO:0043086	sgrT,
Cra	GO:0046325	sgrT,
Cra	GO:0015992	cyoB,fruA,setA,
Cra	GO:0015755	fruA,
Cra	GO:0006811	cyoB,
Cra	GO:0019646	cydA,cyoD,cyoC,cyoA,cyoB,cydB,
Cra	GO:0009060	cyoD,cyoB,cyoA,cyoC,
Cra	GO:0015990	cyoD,cyoC,cyoA,cyoB,
Cra	GO:0006970	cysG,betA,betI,betB,
Cra	GO:0019285	betT,betB,betI,betA,
Cra	GO:0005975	fbaA,yeaD,yibQ,fruK,zwf,
Cra	GO:0006119	cydA,cydB,
Cra	GO:0015797	mtlA,
Cra	GO:0015795	mtlA,
Cra	GO:0006468	ptsH,
Cra	GO:0043085	ptsH,
Cra	GO:0045819	ptsH,
Cra	GO:0009061	acnA,nirD,nirB,
Cra	GO:0009058	mpl,
Cra	GO:0008360	mpl,
Cra	GO:0009252	mpl,
Cra	GO:0071555	mpl,
Cra	GO:0051301	mpl,envC,
Cra	GO:0009254	mpl,
Cra	GO:0046677	marA,marR,marB,
Cra	GO:0046835	fruK,pfkA,
Cra	GO:0006001	fruK,
Cra	GO:0009372	zwf,
Cra	GO:0006974	yeaD,betT,
Cra	GO:0071236	marR,
Cra	GO:0009408	marR,pykF,
Cra	GO:0006979	icd,acnA,lpd,gpmM,
Cra	GO:0022900	cyoA,icd,
Cra	GO:0022904	cyoC,
Cra	GO:0015871	betT,
Cra	GO:0006417	acnB,
Cra	GO:0006783	cyoE,
Cra	GO:0048034	cyoE,
Cra	GO:0042493	envC,
Cra	GO:0000920	envC,
Cra	GO:0001896	envC,
Cra	GO:0009273	envC,
Cra	GO:0051345	envC,
Cra	GO:0045454	lpd,
Cra	GO:0019464	lpd,
Cra	GO:0006103	lpd,
Cra	GO:0006007	gpmM,pfkA,
Cra	GO:0006002	pfkA,
