#From get_metadata.pl on Sat Jun 25 12:01:02 2016 using:
# ~/datasets/results/
# ~/datasets/input_files/Transcription_Factors.txt
GU	Total Enzymes	Enzymes with connectivity	Components	Connectivity	Total Catalysis reactions	Secondary reactions	Feedback
FlhDC	11	4	12	0.18	18	0	0
FliZ	5	2	4	0.25	5	0	0
FucR	6	4	2	0.57	10	0	1
Fur	69	54	36	0.52	129	9	1
GadE	10	5	8	0.29	22	12	0
GadE-RcsB	4	2	2	0.40	5	0	0
GadW	4	3	2	0.60	3	0	0
GadX	12	9	5	0.56	14	0	0
GalR	6	5	4	0.56	8	0	1
GalS	6	5	4	0.56	8	0	1
GatR	3	3	1	1.00	4	1	0
GcvA	3	3	1	1.00	4	1	1
GlcC	3	3	2	0.75	4	0	1
GlpR	7	4	6	0.33	12	0	1
GlrR	0	0	0	-0.00	0	0	0
GntR	9	9	1	1.00	10	2	1
GutM	3	2	2	0.50	4	0	0
GutR	3	2	2	0.50	4	0	1
HU	7	5	4	0.50	10	0	0
HcaR	2	2	1	1.00	4	0	0
HdfR	0	0	0	-0.00	0	0	0
HipAB	2	1	2	0.33	3	1	0
HipB	3	1	3	0.20	4	1	1
HyfR	1	0	1	0.00	1	0	0
HypT	7	2	7	0.15	11	2	0
IclR	3	3	2	0.75	4	2	1
IdnR	6	6	1	1.00	6	2	1
IlvY	1	1	3	0.33	3	0	1
IscR	7	3	6	0.25	17	0	0
KdgR	2	2	1	1.00	4	0	0
KdpE	1	0	1	0.00	1	0	0
LacI	3	2	3	0.40	5	0	1
LeuO	6	5	4	0.56	12	0	0
LexA	21	12	10	0.40	20	0	0
LldR	2	1	2	0.33	3	0	1
LrhA	0	0	0	-0.00	0	0	0
LsrR	5	3	3	0.43	6	0	1
LysR	1	0	1	0.00	1	0	0
MalI	2	0	3	0.00	4	0	0
MalT	6	6	2	0.86	20	0	1
MarA	23	3	16	0.08	21	4	0
MarR	0	0	0	-0.00	0	0	0
MatA	1	0	2	0.00	2	0	0
MazE	1	0	1	0.00	11	0	0
MazE-MazF	1	0	1	0.00	11	0	0
McbR	0	0	0	-0.00	0	0	0
MelR	2	1	2	0.33	6	0	1
MetJ	10	7	7	0.44	16	3	1
MetR	4	3	5	0.38	9	3	1
MhpR	6	6	1	1.00	9	1	1
Mlc	4	0	1	0.00	10	0	0
MlrA	1	0	1	0.00	1	0	0
MngR	2	2	1	1.00	2	0	0
MntR	2	2	2	0.67	2	0	1
ModE	14	7	9	0.32	23	2	1
MprA	3	0	2	0.00	2	0	0
MqsA	1	0	1	0.00	1	0	0
MtlR	3	3	1	1.00	3	0	0
MurR	4	1	3	0.17	4	0	1
Nac	10	9	11	0.45	24	0	0
NadR	4	2	3	0.33	5	0	0
NagC	19	13	10	0.46	33	1	0
NanR	6	6	1	1.00	7	0	1
NarL	38	32	14	0.63	56	1	1
NarP	11	7	5	0.47	17	0	0
NemR	2	0	2	0.00	2	0	0
NhaR	5	4	3	0.57	6	0	1
NikR	1	1	1	1.00	1	0	1
NorR	1	0	1	0.00	1	0	0
NrdR	4	3	2	0.60	15	3	1
NsrR	40	26	22	0.43	61	1	0
NtrC	22	17	9	0.57	40	1	1
OmpR	8	3	21	0.11	24	0	0
OxyR	14	8	12	0.32	22	0	0
PaaX	9	9	2	0.90	13	0	0
PdhR	26	20	12	0.54	37	5	1
PepA	2	1	3	0.25	5	0	0
PgrR	1	0	1	0.00	1	0	0
PhoB	21	15	47	0.22	80	1	1
PhoP	36	21	20	0.38	44	4	1
PrpR	4	4	1	1.00	5	1	1
PspF	1	0	1	0.00	1	0	0
PurR	27	23	6	0.72	39	3	1
PutA	2	2	2	0.67	4	1	0
PuuR	6	6	2	0.86	7	0	0
QseB	0	0	0	-0.00	0	0	0
RbsR	6	5	3	0.62	8	2	1
RcdA	1	0	1	0.00	1	0	0
RcnR	1	1	2	0.50	2	0	1
RcsAB	3	2	2	0.50	3	0	0
RcsB	4	3	2	0.60	3	0	0
RcsB-BglJ	2	2	2	0.67	7	0	0
RelB	1	0	1	0.00	1	0	0
RelB-RelE	1	0	1	0.00	1	0	0
RhaR	0	0	0	-0.00	0	0	0
RhaS	4	4	3	0.67	6	1	1
Rob	19	1	14	0.03	17	3	0
RstA	3	0	18	0.00	19	0	0
RtcR	2	2	1	1.00	3	0	0
RutR	12	8	5	0.50	17	0	1
SdiA	0	0	0	-0.00	0	0	0
SgrR	3	0	3	0.00	3	0	0
SlyA	0	0	0	-0.00	0	0	0
SoxR	2	0	2	0.00	2	0	0
SoxS	26	3	18	0.07	24	3	0
StpA	3	2	3	0.40	8	0	0
TdcA	5	5	3	0.71	7	2	0
TdcR	5	5	3	0.71	7	2	0
TorR	4	2	3	0.33	5	0	0
TreR	2	1	1	0.50	2	0	1
TrpR	9	9	1	1.00	11	2	1
TyrR	9	9	4	0.75	13	5	1
UhpA	1	0	4	0.00	4	0	0
UidR	2	0	2	0.00	2	0	0
UlaR	5	5	1	1.00	5	0	0
UxuR	5	3	3	0.43	6	2	1
XapR	2	2	1	1.00	5	0	1
XylR	3	3	3	0.60	4	0	1
YdeO	3	0	4	0.00	4	0	0
YefM	1	0	1	0.00	1	0	0
YefM-YoeB	1	0	1	0.00	1	0	0
YehT	0	0	0	-0.00	0	0	0
YeiL	0	0	0	-0.00	0	0	0
YiaJ	6	6	1	1.00	7	0	0
YpdB	0	0	0	-0.00	0	0	0
YqhC	2	1	9	0.10	10	0	0
YqjI	1	1	1	1.00	2	0	1
ZntR	1	1	1	1.00	1	0	1
ZraR	0	0	0	-0.00	0	0	0
Zur	1	1	1	1.00	1	0	1
