1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis
GLUTORN-PWY	L-ornithine biosynthesis I
GLUTSYN-PWY	L-glutamate biosynthesis I
GLUTSYNIII-PWY	L-glutamate biosynthesis III
GLYCEROLMETAB-PWY	glycerol degradation V
GLYCLEAV-PWY	glycine cleavage
GLYCOCAT-PWY	glycogen degradation I
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)
GLYOXDEG-PWY	glycolate and glyoxylate degradation II
GLYOXYLATE-BYPASS	glyoxylate cycle
GLYSYN-PWY	glycine biosynthesis I
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)
HEMESYN2-PWY	heme biosynthesis II (anaerobic)
HISTSYN-PWY	L-histidine biosynthesis
HOMOSER-METSYN-PWY	L-methionine biosynthesis I
HOMOSER-THRESYN-PWY	L-threonine biosynthesis
HOMOSERSYN-PWY	L-homoserine biosynthesis
IDNCAT-PWY	L-idonate degradation
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)
KDO-LIPASYN-PWY	(Kdo)2-lipid A biosynthesis I
KDOSYN-PWY	Kdo transfer to lipid IVA I
KETOGLUCONMET-PWY	ketogluconate metabolism
LCYSDEG-PWY	L-cysteine degradation II
LEUSYN-PWY	L-leucine biosynthesis
LIPA-CORESYN-PWY	Lipid A-core biosynthesis
LYXMET-PWY	L-lyxose degradation
MANNCAT-PWY	D-mannose degradation
MANNIDEG-PWY	mannitol degradation I
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis
METSYN-PWY	L-homoserine and L-methionine biosynthesis
NAD-BIOSYNTHESIS-II	NAD salvage pathway II
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation
NAGLIPASYN-PWY	lipid IVA biosynthesis
NONMEVIPP-PWY	methylerythritol phosphate pathway I
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)
NRI-PWY	Nitrogen Regulation Two-Component System
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)
P2-PWY	citrate lyase activation
PANTO-PWY	phosphopantothenate biosynthesis I
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I
PENTOSE-P-PWY	pentose phosphate pathway
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)
PHESYN	L-phenylalanine biosynthesis I
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)
PPGPPMET-PWY	ppGpp biosynthesis
PROPIONMET-PWY	propanoyl CoA degradation I
PROSYN-PWY	L-proline biosynthesis I
PROUT-PWY-I	proline degradation
PUTDEG-PWY	putrescine degradation I
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis
PWY-1801	formaldehyde oxidation II (glutathione-dependent)
PWY-2161	folate polyglutamylation
PWY-40	putrescine biosynthesis I
PWY-4121	glutathionylspermidine biosynthesis
PWY-4261	glycerol degradation I
PWY-4381	fatty acid biosynthesis initiation I
PWY-46	putrescine biosynthesis III
PWY-4621	arsenate detoxification II (glutaredoxin)
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA
PWY-5123	trans, trans-farnesyl diphosphate biosynthesis
PWY-5155	beta-alanine biosynthesis III
PWY-5162	2-oxopentenoate degradation
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)
PWY-5194	siroheme biosynthesis
PWY-5340	sulfate activation for sulfonation
PWY-5350	thiosulfate disproportionation III (rhodanese)
PWY-5386	methylglyoxal degradation I
PWY-5436	L-threonine degradation IV
PWY-5437	L-threonine degradation I
PWY-5453	methylglyoxal degradation III
PWY-5459	methylglyoxal degradation IV
PWY-5484	glycolysis II (from fructose 6-phosphate)
PWY-5659	GDP-mannose biosynthesis
PWY-5667	CDP-diacylglycerol biosynthesis I
PWY-5668	cardiolipin biosynthesis I
PWY-5669	phosphatidylethanolamine biosynthesis I
PWY-5686	UMP biosynthesis
PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)
PWY-5705	allantoin degradation to glyoxylate III
PWY-5755	4-hydroxybenzoate biosynthesis II (microbes)
PWY-5783	octaprenyl diphosphate biosynthesis
PWY-5785	di-trans,poly-cis-undecaprenyl phosphate biosynthesis
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis
PWY-5852	demethylmenaquinol-8 biosynthesis I
PWY-5901	2,3-dihydroxybenzoate biosynthesis
PWY-5964	guanylyl molybdenum cofactor biosynthesis
PWY-5965	fatty acid biosynthesis initiation III
PWY-5966	fatty acid biosynthesis initiation II
PWY-5971	palmitate biosynthesis II (bacteria and plants)
PWY-5973	cis-vaccenate biosynthesis
PWY-6012	acyl carrier protein metabolism
PWY-6019	pseudouridine degradation
PWY-6038	citrate degradation
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II
PWY-6123	inosine-5'-phosphate biosynthesis I
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-6151	S-adenosyl-L-methionine cycle I
PWY-6153	autoinducer AI-2 biosynthesis I
PWY-6163	chorismate biosynthesis from 3-dehydroquinate
PWY-6164	3-dehydroquinate biosynthesis I
PWY-6268	adenosylcobalamin salvage from cobalamin
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
PWY-6476	cytidylyl molybdenum cofactor biosynthesis
PWY-6519	8-amino-7-oxononanoate biosynthesis I
PWY-6535	4-aminobutanoate degradation I
PWY-6537	4-aminobutanoate degradation II
PWY-6543	4-aminobenzoate biosynthesis
PWY-6556	pyrimidine ribonucleosides salvage II
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY-6605	adenine and adenosine salvage II
PWY-6608	guanosine nucleotides degradation III
PWY-6609	adenine and adenosine salvage III
PWY-6611	adenine and adenosine salvage V
PWY-6614	tetrahydrofolate biosynthesis
PWY-6617	adenosine nucleotides degradation III
PWY-6618	guanine and guanosine salvage III
PWY-6620	guanine and guanosine salvage
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate
PWY-6700	queuosine biosynthesis
PWY-6703	preQ0 biosynthesis
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)
PWY-6823	molybdenum cofactor biosynthesis
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis
PWY-6892	thiazole biosynthesis I (facultative anaerobic bacteria)
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)
PWY-6897	thiamine salvage II
PWY-6910	hydroxymethylpyrimidine salvage
PWY-6952	glycerophosphodiester degradation
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)
PWY-7176	UTP and CTP de novo biosynthesis
PWY-7179	purine deoxyribonucleosides degradation I
PWY-7180	2'-deoxy-alpha-D-ribose 1-phosphate degradation
PWY-7181	pyrimidine deoxyribonucleosides degradation
PWY-7183	pyrimidine nucleobases salvage I
PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I
PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II
PWY-7193	pyrimidine ribonucleosides salvage I
PWY-7194	pyrimidine nucleobases salvage II
PWY-7195	pyrimidine ribonucleosides salvage III
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation
PWY-7205	CMP phosphorylation
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7219	adenosine ribonucleotides de novo biosynthesis
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II
PWY-7221	guanosine ribonucleotides de novo biosynthesis
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II
PWY-7242	D-fructuronate degradation
PWY-7247	beta-D-glucuronide and D-glucuronate degradation
PWY-7315	dTDP-N-acetylthomosamine biosynthesis
PWY-7335	UDP-N-acetyl-alpha-D-mannosaminouronate biosynthesis
PWY-7343	UDP-glucose biosynthesis
PWY-7344	UDP-D-galactose biosynthesis
PWY-7346	UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)
PWY-7446	sulfoquinovose degradation I
PWY-7544	pyruvate to cytochrome bo oxidase electron transfer
PWY-7545	pyruvate to cytochrome bd terminal oxidase electron transfer
PWY-901	methylglyoxal degradation II
PWY0-1021	L-alanine biosynthesis III
PWY0-1182	trehalose degradation II (trehalase)
PWY0-1221	putrescine degradation II
PWY0-1241	ADP-L-glycero-beta-D-manno-heptose biosynthesis
PWY0-1261	anhydromuropeptides recycling
PWY0-1264	biotin-carboxyl carrier protein assembly
PWY0-1275	lipoate biosynthesis and incorporation II
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
PWY0-1280	ethylene glycol degradation
PWY0-1295	pyrimidine ribonucleosides degradation
PWY0-1296	purine ribonucleosides degradation
PWY0-1299	arginine dependent acid resistance
PWY0-1300	2-O-alpha-mannosyl-D-glycerate degradation
PWY0-1301	melibiose degradation
PWY0-1303	aminopropylcadaverine biosynthesis
PWY0-1305	L-glutamate degradation IX (via 4-aminobutanoate)
PWY0-1306	L-galactonate degradation
PWY0-1309	chitobiose degradation
PWY0-1312	acetate formation from acetyl-CoA I
PWY0-1313	acetate conversion to acetyl-CoA
PWY0-1314	fructose degradation
PWY0-1315	L-lactaldehyde degradation (anaerobic)
PWY0-1317	L-lactaldehyde degradation (aerobic)
PWY0-1319	CDP-diacylglycerol biosynthesis II
PWY0-1321	nitrate reduction III (dissimilatory)
PWY0-1324	N-acetylneuraminate and N-acetylmannosamine degradation I
PWY0-1329	succinate to cytochrome bo oxidase electron transfer
PWY0-1334	NADH to cytochrome bd oxidase electron transfer I
PWY0-1335	NADH to cytochrome bo oxidase electron transfer I
PWY0-1336	NADH to fumarate electron transfer
PWY0-1337	oleate beta-oxidation
PWY0-1338	polymyxin resistance
PWY0-1347	NADH to trimethylamine N-oxide electron transfer
PWY0-1348	NADH to dimethyl sulfoxide electron transfer
PWY0-1352	nitrate reduction VIII (dissimilatory)
PWY0-1353	succinate to cytochrome bd oxidase electron transfer
PWY0-1355	formate to trimethylamine N-oxide electron transfer
PWY0-1356	formate to dimethyl sulfoxide electron transfer
PWY0-1391	S-methyl-5'-thioadenosine degradation IV
PWY0-1433	tetrahydromonapterin biosynthesis
PWY0-1458	PhoQP Two-Component Signal Transduction System, magnesium-dependent
PWY0-1465	D-malate degradation
PWY0-1466	trehalose degradation VI (periplasmic)
PWY0-1468	DcuSR Two-Component Signal Transduction System, dicarboxylate-dependent
PWY0-1470	QseBC Two-Component Signal Transduction System, quorum sensing related
PWY0-1471	uracil degradation III
PWY0-1474	AtoSC Two-Component Signal Transduction System
PWY0-1477	ethanolamine utilization
PWY0-1479	tRNA processing
PWY0-1481	BaeSR Two-Component Signal Transduction System
PWY0-1482	BasSR Two-Component Signal Transduction System
PWY0-1483	PhoRB Two-Component Signal Transduction System, phosphate-dependent
PWY0-1485	CpxAR Two-Component Signal Transduction System
PWY0-1487	CreCB Two-Component Signal Transduction System
PWY0-1490	EvgSA Two-Component Signal Transduction System
PWY0-1492	UhpBA Two Component Signal Transduction System
PWY0-1493	RcsCDB Two-Component Signal Transduction System
PWY0-1495	KdpDE Two-Component Signal Transduction System, potassium-dependent
PWY0-1497	RstBA Two-Component Signal Transduction System
PWY0-1498	ZraSR Two-Component Signal Transduction System
PWY0-1499	DpiBA Two-Component Signal Transduction System
PWY0-1500	EnvZ  Two-Component Signal Transduction System, osmotic responsive
PWY0-1501	BarA UvrY Two-Component Signal Transduction System
PWY0-1503	GlrKR Two-Component Signal Transduction System
PWY0-1505	ArcAB Two-Component Signal Transduction System, quinone dependent
PWY0-1506	TorSR Two-Component Signal Transduction System, TMAO dependent
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I
PWY0-1509	NtrBC Two-Component Signal Transduction System, nitrogen-dependent
PWY0-1512	CusSR Two-Component Signal Transduction System
PWY0-1514	NarQ Two-Component Signal Transduction System, nitrate dependent
PWY0-1515	NarX Two-Component Signal Transduction System, nitrate dependent
PWY0-1517	sedoheptulose bisphosphate bypass
PWY0-1518	Chemotactic Two-Component Signal Transduction
PWY0-1519	Aerotactic Two-Component Signal Transduction System
PWY0-1527	curcumin degradation
PWY0-1533	methylphosphonate degradation I
PWY0-1534	hydrogen sulfide biosynthesis I
PWY0-1535	D-serine degradation
PWY0-1544	proline to cytochrome bo oxidase electron transfer
PWY0-1545	cardiolipin biosynthesis III
PWY0-1546	muropeptide degradation
PWY0-1550	YpdAB Two-Component Signal Transduction System
PWY0-1554	5-(carboxymethoxy)uridine biosynthesis
PWY0-1559	YehUT Two-Component Signal Transduction System
PWY0-1561	glycerol-3-phosphate to cytochrome bo oxidase electron transfer
PWY0-1565	D-lactate to cytochrome bo oxidase electron transport
PWY0-1567	NADH to cytochrome bo oxidase electron transfer II
PWY0-1568	NADH to cytochrome bd oxidase electron transport II
PWY0-1569	autoinducer AI-2 degradation
PWY0-1573	nitrate reduction VIIIb (dissimilatory)
PWY0-1576	hydrogen to fumarate electron transfer
PWY0-1577	hydrogen to dimethyl sulfoxide electron transfer
PWY0-1578	hydrogen to trimethylamine N-oxide electron transfer
PWY0-1581	nitrate reduction IX (dissimilatory)
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer
PWY0-1584	nitrate reduction X (periplasmic, dissimilatory)
PWY0-1585	formate to nitrite electron transfer
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)
PWY0-1587	N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis
PWY0-163	salvage pathways of pyrimidine ribonucleotides
PWY0-181	salvage pathways of pyrimidine deoxyribonucleotides
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)
PWY0-321	phenylacetate degradation I (aerobic)
PWY0-381	glycerol and glycerophosphodiester degradation
PWY0-41	allantoin degradation IV (anaerobic)
PWY0-42	2-methylcitrate cycle I
PWY0-43	conversion of succinate to propanoate
PWY0-44	D-allose degradation
PWY0-461	L-lysine degradation I
PWY0-501	lipoate biosynthesis and incorporation I
PWY0-521	fructoselysine and psicoselysine degradation
PWY0-522	lipoate salvage I
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis
PWY0-661	PRPP biosynthesis II
PWY0-662	PRPP biosynthesis I
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
PWY0-862	(5Z)-dodec-5-enoate biosynthesis
PWY0-901	L-selenocysteine biosynthesis I (bacteria)
PWY0-981	taurine degradation IV
PWY3O-4106	NAD salvage pathway III
PYRIDNUCSAL-PWY	NAD salvage pathway I
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA
RHAMCAT-PWY	L-rhamnose degradation I
RIBOKIN-PWY	ribose degradation
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)
SALVADEHYPOX-PWY	adenosine nucleotides degradation II
SALVPURINE2-PWY	xanthine and xanthosine salvage
SAM-PWY	S-adenosyl-L-methionine biosynthesis
SERDEG-PWY	L-serine degradation
SERSYN-PWY	L-serine biosynthesis
SO4ASSIM-PWY	sulfate reduction I (assimilatory)
SORBDEG-PWY	D-sorbitol degradation II
TCA	TCA cycle I (prokaryotic)
THIOREDOX-PWY	thioredoxin pathway
THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)
THREONINE-DEG2-PWY	L-threonine degradation II
TREDEGLOW-PWY	trehalose degradation I (low osmolarity)
TRESYN-PWY	trehalose biosynthesis I
TRNA-CHARGING-PWY	tRNA charging
TRPSYN-PWY	L-tryptophan biosynthesis
TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)
TYRSYN	L-tyrosine biosynthesis I
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I
VALSYN-PWY	L-valine biosynthesis
XYLCAT-PWY	xylose degradation I
